user,text,tagged_count,valid_tags,valid_post
kxingying,@suntanbeibei,1,0,False
hanlingggg,Running with friends is definitely my favourite sport now. @zhihannnnn @mornfirstlight @ywjian,3,3,True
hanlingggg,,,,
hanlingggg,,,,
k3rwi,Cycling is my favourite sport cause its very convienient yet relaxing way to exercise @xue_tingggg @xt_private @kerwiiiii @ker_dae_wae,4,1,True
asma_ridz,Briskwalking & cycling @st4rg4zer @sitibte @ahsinoriahk @iamzaiothman,4,4,True
asma_ridz,,,,
asma_ridz,,,,
asma_ridz,,,,
fendi_ns,"@cacakfyra @sagitapradina @annisaoksalia @rizkinrd @bimaputraw @amalialmiran @damastasw @adityarintis @rafijauhari My favorite sport is running 🏃, because I think running the easiest way to get healthy. Just move your feet and feel the sweat flows in your body.",9,7,True
fendi_ns,,,,
fendi_ns,,,,
fendi_ns,,,,
fendi_ns,,,,
fendi_ns,,,,
fendi_ns,,,,
iampeterliew,I need this to track my steps on Badminton games 🏸 @jawdon23 @_peryn11 @wilson_widjijanto #fitsperation #fit,3,2,True
iampeterliew,,,,
lilian_sg,"Brisk walking. I can do it anywhere, anytime for free. @bschow2021",1,0,False
xfitconnections,Nice!,0,0,False
jiali_,@limywei swimming!,1,1,True
jiali_,@jiayingchen swimming!,1,1,True
sh3r_yl,"Favourite sport = basketball/netball. Fast paced, exciting to watch and play. Gets your blood pumping and heart racing. @cloudjy @tjutrosliana @kaiwuuu @ikanyuuu @robobooga",5,5,True
sh3r_yl,,,,
sh3r_yl,,,,
sh3r_yl,,,,
sh3r_yl,,,,
fluffyunirose,Tennis and rollerblading! @marcus_has_it @dinosaulongbao @em_goh @callyooo,4,4,True
fluffyunirose,,,,
fluffyunirose,,,,
fluffyunirose,,,,
ekhooey,Everybody thinks my favourite sport is running because I run so much but my favourite is actually Yoga you know!! 🤸‍♀️ tagging all my fit friends who always inspire me in all of their wonderful ways @gieberty @ivonarsenal @deliseyang @peiyipuarkkk @lindschow @cindygweeyy @xysanguinezi @lyhxcdia @derricklovestoeat,9,9,True
ekhooey,,,,
ekhooey,,,,
ekhooey,,,,
ekhooey,,,,
ekhooey,,,,
ekhooey,,,,
ekhooey,,,,
ekhooey,,,,
jasmean317,"I am INSPIRED and MOTIVATED by my own mother to do yoga. She started at 50 and by 2 years, she has become a certified instructor with six-pack, greater stamina than many fit guys and the flexibility like a gymnast. I saw how her body and mind changed. So i do yoga because of that and amazingly, it is a medicine to my spine and my overall health. It relaxes me; strengthens me, stretches me. I can say that yoga is the best and my most favorite workout. @tkt.krittiya @yokrangsima @praewander @surira_k @piawnaldo @foofoofunfun",6,5,True
jasmean317,,,,
jasmean317,,,,
jasmean317,,,,
jasmean317,,,,
smaziah,@iacia @thebetayou @tellstales my current favourite sport is swimming cos it's heart-pumping yet easy on the joints. so it'd be sweet to have a fitness tracker that's swimproof and has a battery that lasts two days longer than my current one!,3,3,True
smaziah,,,,
smaziah,,,,
taenathan,Swimming coz I like to be in the water it blocks all the surrounding noises ! makes me feel peaceful @hok_assilem @szecloudd @prick.ya when u thought it’s gonna be hockey,3,0,False
taenathan,@c9h8o4_ CANT FIND YR ACC JN BUT YA U TOO EHEHE,1,1,True
tobiengland,Keep it up!!!,0,1,False
jtlov,@stellalorrr @jackson_huihui @ivancdq my favorite sport now would be rebounding. It's one of the newer exercises which i really enjoy,3,3,True
jtlov,,,,
jtlov,,,,
nehavoyages,@jetyogi @madhu482 archery as it keeps me focused and in shape,2,0,False
shanpongggg,FAVORITE SPORT CURRENTLY IS F45 BECAUSE ITS SO PAINFUL BUT SO REWARDING AT THE SAME TIME. 😂😭😂😭😂 BUT I do want to get back into swimming and jogging and I know a CHARGE3 would do me well in the water as well as tracking if my HR is in DA ZONE / I'm not walking y'know. tagging ma very #fit f45friends cos they so inspirationzxz and might want a chance at a Fitbit too! @cjht_ @chelsiac @ngxinyi @huixiannnnnn @sharemaine @trungnguyenkopi,6,5,True
shanpongggg,,,,
shanpongggg,,,,
shanpongggg,,,,
shanpongggg,,,,
rach_yjy,@pehxinyun @sogggyy @skyewzq my fav sport is swimming! This fitbit charge 3 is water resistant so we can wear it into the pool too yay,3,2,True
rach_yjy,,,,
pehxinyun,My fav sport is badminton!!! 🏸 Followed @sogggyy @rach_yjy @skyewzq,3,2,True
pehxinyun,,,,
lindschow,"Namaste 🙏🏻 it’s actually yoga! And I am sure everyone’s all time favourite pose is Savasana😂 Time for my friends to try yoga and know that after a tough class/training/day, everyone deserves a rest( Savasana) @jeissiej @jiahuitann @t_yanling @louis.nguy @electromotive @ekhooey @iamjojotan",7,6,True
lindschow,,,,
lindschow,,,,
lindschow,,,,
lindschow,,,,
lindschow,,,,
xsheree,"my fav sport is piloxing which is a damn cool workout integrating pilates, kickboxing and dancing!! hope to win the fitbit~ @rebeccaxlys @jeni_lim_piloxing @mentalforpolish @jacieeee !!!",4,4,True
xsheree,,,,
xsheree,,,,
xsheree,,,,
mentalforpolish,@xsheree @jacieeee @jeni_lim_piloxing my fave sport is Zumba!! I love how dancing makes me relief my stress and also gives me motivation for a great workout!,3,3,True
mentalforpolish,,,,
mentalforpolish,,,,
leonwongcs,"My fav sports is to gym with my work buddy @tjymax. Gym get us keep moving around given our hectic lifestyle, get us pumped and having all rounded facilties for active individuals like us! Wearing Fitbit Charge 3 has the best high tech way of monitoring my body! Sames goes with Funan with a high tech retail experience that will cater to young and active millennials like us!",1,0,False
huzdatguy,Floorball! @jerlyngelin,1,1,True
huzdatguy,Floorball! @huhuhumz,1,1,True
huzdatguy,Floorball! @eatorbeeaten,1,1,True
huzdatguy,Floorball! @annoy.ying,1,1,True
huzdatguy,Floorball! @tantantaniaa,1,1,True
huzdatguy,Floorball! @naniisgoingon,1,0,False
huzdatguy,Floorball! @strength_flower,1,1,True
huzdatguy,Floorball! @wiki.uno,1,1,True
tjutrosliana,Favourite sport is Swimming because it not only gives an overall body workout - it cools you down in Singapore’s temperatures! Plus it’s a life skill to boot! @alyshaaleena @tjutroslinda @tjut.rosalia @jambz @zameerjohnston,5,4,True
tjutrosliana,,,,
tjutrosliana,,,,
tjutrosliana,,,,
elina.low,"definitely cycling/spin! not exactly a sport per se, but it’s my favourite new found activity. it’s a full body workout that allows you to burn more than 500 calories in just 45mins and the best thing is??? it’s REALLY FUN and i LOVE it. it’s torture when your thighs abs and arms ache the next day but i always find myself going back for more 👌🏼 @riannatm @mel2issa @thesecondvowel",3,2,True
elina.low,,,,
sstan_86,@gneteew @eileen_hl yoga coz gives me inner peace and work on some muscles that u seldom use at the same time.,2,0,False
joannephangyx,"Definitely jogging because I can enjoy the scenery while exercising! The best part is, I can jog anytime and anywhere I want. Fuss free! @zhenlong1974",1,0,False
joannephangyx,"Definitely jogging because I can enjoy the scenery while exercising! The best part is, I can jog anytime and anywhere I want. Fuss free! @wong.ah.wan",1,0,False
